N,d_col,form,freq,is_breathing,k1,k2,mu,peak_ratio,period,scan,sigma_ratio
,,exponential,0.1,True,0.5,0.1,,0.5347685303947772,10.0,k2,0.825868325421861
,,exponential,0.1,True,0.5,0.2,,0.42304170307826255,10.0,k2,0.8607297890339437
,,exponential,0.15000000000000002,True,0.5,0.3,,0.5514191042184635,6.666666666666666,k2,0.9133041197657611
,,exponential,0.2,True,0.5,0.4,,0.9213899577640159,5.0,k2,0.8536457560349527
,,exponential,0.2,True,0.5,0.5,,0.5039826336530111,5.0,k2,0.8586714729291913
,,exponential,0.25,True,0.5,0.6,,0.5765067033854915,4.0,k2,0.8590208407765214
,,exponential,0.25,True,0.5,0.7,,0.7369024767309758,4.0,k2,0.9041072261560092
,,exponential,0.25,True,0.5,0.8,,0.5695100486187913,4.0,k2,0.830613854680685
,,exponential,0.2,True,0.1,0.5,,0.47202142399952257,5.0,k1,0.49654688115529705
,,exponential,0.2,True,0.2,0.5,,0.6271914456214664,5.0,k1,0.6579004515735385
,,exponential,0.2,True,0.3,0.5,,0.640090295434338,5.0,k1,0.7902840666208643
,,exponential,0.2,True,0.4,0.5,,0.4975075678253001,5.0,k1,0.8591156712392832
,,exponential,0.2,True,0.5,0.5,,0.5039826336530111,5.0,k1,0.8586714729291913
,,exponential,0.2,True,0.6,0.5,,0.5441866159834362,5.0,k1,0.9189694105908734
,,exponential,0.2,True,0.7,0.5,,0.6084516654583645,5.0,k1,0.855458036184952
,,exponential,0.2,True,0.8,0.5,,0.6782561657694756,5.0,k1,0.8905951305582591
,4.0,exponential,0.2,True,0.5,0.5,9.0,0.7133489625307543,5.0,d,0.6986332869323858
,5.0,exponential,0.2,True,0.5,0.5,9.0,0.5039826336530111,5.0,d,0.8586714729291913
,6.0,exponential,0.15000000000000002,True,0.5,0.5,9.0,0.6615993592873486,6.666666666666666,d,0.53607152395303
,7.0,exponential,0.15000000000000002,True,0.5,0.5,9.0,0.40038441606340536,6.666666666666666,d,0.6772483337028946
,5.0,exponential,0.2,True,0.5,0.5,7.0,0.7234934853514805,5.0,mu,0.7971018868022125
,5.0,exponential,0.2,True,0.5,0.5,9.0,0.5039826336530111,5.0,mu,0.8586714729291913
,5.0,exponential,0.2,True,0.5,0.5,11.0,0.44910752957748623,5.0,mu,0.9300157018417389
,5.0,exponential,0.2,True,0.5,0.5,13.0,0.5914762086246073,5.0,mu,0.7870177186854126
4,5.0,exponential,0.15000000000000002,True,0.5,0.5,9.0,0.5984335031967594,6.666666666666666,N,0.46250825636919307
5,5.0,exponential,0.2,True,0.5,0.5,9.0,0.5011690485890435,5.0,N,0.7527038289138965
6,5.0,exponential,0.2,True,0.5,0.5,9.0,0.5039826336530111,5.0,N,0.8586714729291913
7,5.0,exponential,0.2,True,0.5,0.5,9.0,0.6822707133754979,5.0,N,0.7805589641436975
8,5.0,exponential,0.2,True,0.5,0.5,9.0,0.6214910928006994,5.0,N,0.7820216330934785
,,exponential,0.15000000000000002,True,0.2,0.2,,0.7621412926734531,6.666666666666666,grid,0.5347860893562995
,,exponential,0.2,True,0.2,0.4,,0.9571696481786761,5.0,grid,0.7507937712708189
,,exponential,0.25,True,0.2,0.6,,0.8679065592502749,4.0,grid,0.7025154614077423
,,exponential,0.15000000000000002,True,0.4,0.2,,0.39134533373270386,6.666666666666666,grid,0.8828640220815167
,,exponential,0.2,True,0.4,0.4,,0.931598986041298,5.0,grid,0.8807313454384949
,,exponential,0.25,True,0.4,0.6,,0.4230098953337571,4.0,grid,0.6691958416411662
,,exponential,0.1,True,0.6,0.2,,0.5007588935811701,10.0,grid,0.8552331698053737
,,exponential,0.2,True,0.6,0.4,,0.8473081395317332,5.0,grid,0.9130360208544173
,,exponential,0.25,True,0.6,0.6,,0.9059602334338146,4.0,grid,0.8892798341680226
