N,d_col,form,freq,is_breathing,k1,k2,mu,peak_ratio,period,scan,sigma_ratio
,,log,0.1,True,0.5,0.1,,0.5030670541812924,10.0,k2,0.7942374106920319
,,log,0.1,True,0.5,0.2,,0.4463161385536431,10.0,k2,0.8893076488308381
,,log,0.15000000000000002,True,0.5,0.3,,0.5102156960100411,6.666666666666666,k2,0.9011898494505693
,,log,0.2,True,0.5,0.4,,0.9511855543982413,5.0,k2,0.8795265874617736
,,log,0.2,True,0.5,0.5,,0.7405118796398474,5.0,k2,0.7391271958941693
,,log,0.25,True,0.5,0.6,,0.6689067992900097,4.0,k2,0.6933612467054966
,,log,0.25,True,0.5,0.7,,0.9192932983752795,4.0,k2,0.7974416285358644
,,log,0.25,True,0.5,0.8,,0.43530105291247656,4.0,k2,0.760482336465239
,,log,0.2,True,0.1,0.5,,0.4683133027753329,5.0,k1,0.5434599592776675
,,log,0.2,True,0.2,0.5,,0.5411710509048651,5.0,k1,0.6681978108763521
,,log,0.2,True,0.3,0.5,,0.5968810118047871,5.0,k1,0.7676313851054729
,,log,0.2,True,0.4,0.5,,0.6975354513199656,5.0,k1,0.8130659487949516
,,log,0.2,True,0.5,0.5,,0.7405118796398474,5.0,k1,0.7391271958941693
,,log,0.2,True,0.6,0.5,,0.4778110463789301,5.0,k1,0.8774342543395627
,,log,0.2,True,0.7,0.5,,0.518687461510348,5.0,k1,0.9223726475444259
,,log,0.2,True,0.8,0.5,,0.5871654935788576,5.0,k1,0.8707158173107902
,4.0,log,0.2,True,0.5,0.5,9.0,0.5458943302534889,5.0,d,0.8913343068140123
,5.0,log,0.2,True,0.5,0.5,9.0,0.7405118796398474,5.0,d,0.7391271958941693
,6.0,log,0.15000000000000002,True,0.5,0.5,9.0,0.536019063319216,6.666666666666666,d,0.4373670467558623
,7.0,log,0.15000000000000002,True,0.5,0.5,9.0,0.37352280670411664,6.666666666666666,d,0.5912488707039413
,5.0,log,0.2,True,0.5,0.5,7.0,0.6157634420774044,5.0,mu,0.8231301575878541
,5.0,log,0.2,True,0.5,0.5,9.0,0.7405118796398474,5.0,mu,0.7391271958941693
,5.0,log,0.2,True,0.5,0.5,11.0,0.6601609720410371,5.0,mu,0.8532460367625232
,5.0,log,0.2,True,0.5,0.5,13.0,0.44817105209186164,5.0,mu,0.8850064838908617
4,5.0,log,0.2,True,0.5,0.5,9.0,0.4688135011740661,5.0,N,0.94253060122716
5,5.0,log,0.2,True,0.5,0.5,9.0,0.5749004235747659,5.0,N,0.8178685014225725
6,5.0,log,0.2,True,0.5,0.5,9.0,0.7405118796398474,5.0,N,0.7391271958941693
7,5.0,log,0.2,True,0.5,0.5,9.0,0.6534802852439663,5.0,N,0.804336095242683
8,5.0,log,0.2,True,0.5,0.5,9.0,0.7650757848507335,5.0,N,0.7607126528998135
,,log,0.15000000000000002,True,0.2,0.2,,0.84234056531097,6.666666666666666,grid,0.8454180026288334
,,log,0.2,True,0.2,0.4,,0.9560250050228095,5.0,grid,0.7845483534984176
,,log,0.25,True,0.2,0.6,,0.8970672175254298,4.0,grid,0.6617640200052957
,,log,0.15000000000000002,True,0.4,0.2,,0.5671160515260367,6.666666666666666,grid,0.8634121085497538
,,log,0.2,True,0.4,0.4,,0.8187661265495761,5.0,grid,0.7834578914151425
,,log,0.25,True,0.4,0.6,,0.7743441929183286,4.0,grid,0.701091091596768
,,log,0.1,True,0.6,0.2,,0.45770714527079087,10.0,grid,0.7577566581051564
,,log,0.2,True,0.6,0.4,,0.9074477632254032,5.0,grid,0.8961627399516029
,,log,0.25,True,0.6,0.6,,0.945679990156198,4.0,grid,0.9241953062266993
