N,d_col,form,freq,is_breathing,k1,k2,mu,peak_ratio,period,scan,sigma_ratio
,,power,0.05,True,0.5,0.1,,0.611919821067343,20.0,k2,0.91566700819016
,,power,0.1,True,0.5,0.2,,0.5258202018828161,10.0,k2,0.7464386536091282
,,power,0.15000000000000002,True,0.5,0.3,,0.6544581902760432,6.666666666666666,k2,0.7400545054719108
,,power,0.2,True,0.5,0.4,,0.6866868064973516,5.0,k2,0.8534915128266575
,,power,0.2,True,0.5,0.5,,0.6378222793407488,5.0,k2,0.860725431653848
,,power,0.25,True,0.5,0.6,,0.6214874109158773,4.0,k2,0.9073026855184756
,,power,0.25,True,0.5,0.7,,0.5479754871653713,4.0,k2,0.719937242312481
,,power,0.30000000000000004,True,0.5,0.8,,0.4439936772780071,3.333333333333333,k2,0.8683055620657848
,,power,0.2,True,0.1,0.5,,0.3629804631161059,5.0,k1,0.7031179658831656
,,power,0.2,True,0.2,0.5,,0.4635049237723085,5.0,k1,0.8965794681239458
,,power,0.2,True,0.3,0.5,,0.4930486906815103,5.0,k1,0.8101588026605975
,,power,0.2,True,0.4,0.5,,0.7232886855446653,5.0,k1,0.63639864898567
,,power,0.2,True,0.5,0.5,,0.6378222793407488,5.0,k1,0.860725431653848
,,power,0.2,True,0.6,0.5,,0.7203262168790526,5.0,k1,0.9287063957134551
,,power,0.2,True,0.7,0.5,,0.44989577878327053,5.0,k1,0.9077205448165798
,,power,0.1,True,0.8,0.5,,0.4448473953033777,10.0,k1,0.5566037216282957
,4.0,power,0.2,True,0.5,0.5,9.0,0.56009653325841,5.0,d,0.8819550682691453
,5.0,power,0.2,True,0.5,0.5,9.0,0.6378222793407488,5.0,d,0.860725431653848
,6.0,power,0.15000000000000002,True,0.5,0.5,9.0,0.4109416867310554,6.666666666666666,d,0.5122134632307044
,7.0,power,0.15000000000000002,True,0.5,0.5,9.0,0.3725217791820506,6.666666666666666,d,0.5855036763248356
,5.0,power,0.2,True,0.5,0.5,7.0,0.7358987728295363,5.0,mu,0.7853045557421923
,5.0,power,0.2,True,0.5,0.5,9.0,0.6378222793407488,5.0,mu,0.860725431653848
,5.0,power,0.2,True,0.5,0.5,11.0,0.5795322204382759,5.0,mu,0.8139913564857691
,5.0,power,0.15000000000000002,True,0.5,0.5,13.0,0.40228822344195836,6.666666666666666,mu,0.5792679612054912
4,5.0,power,0.15000000000000002,True,0.5,0.5,9.0,0.3769438923659358,6.666666666666666,N,0.4935780043563278
5,5.0,power,0.15000000000000002,True,0.5,0.5,9.0,0.39959754781313556,6.666666666666666,N,0.5438907707772397
6,5.0,power,0.2,True,0.5,0.5,9.0,0.6378222793407488,5.0,N,0.860725431653848
7,5.0,power,0.2,True,0.5,0.5,9.0,0.3269678143908239,5.0,N,0.8321213907386419
8,5.0,power,0.15000000000000002,True,0.5,0.5,9.0,0.41438603229336796,6.666666666666666,N,0.5751896408609605
,,power,0.15000000000000002,True,0.2,0.2,,0.6765023158287031,6.666666666666666,grid,0.5510393910764949
,,power,0.2,True,0.2,0.4,,0.9125953330454655,5.0,grid,0.880613924859416
,,power,0.25,True,0.2,0.6,,0.9080886911614762,4.0,grid,0.8488723888369131
,,power,0.1,True,0.4,0.2,,0.4438933182071653,10.0,grid,0.7879794170215063
,,power,0.2,True,0.4,0.4,,0.5800909684119122,5.0,grid,0.8207472740426801
,,power,0.25,True,0.4,0.6,,0.7114517721449037,4.0,grid,0.8421068791760516
,,power,0.1,True,0.6,0.2,,0.5857047812314143,10.0,grid,0.655916043620965
,,power,0.15000000000000002,True,0.6,0.4,,0.324921104815309,6.666666666666666,grid,0.8719007893028371
,,power,0.25,True,0.6,0.6,,0.6651047333999778,4.0,grid,0.8368580004393198
