N,d_col,form,freq,is_breathing,k1,k2,mu,peak_ratio,period,scan,sigma_ratio
,,rational,0.1,True,0.5,0.1,,0.5220218941802769,10.0,k2,0.865898132014753
,,rational,0.1,True,0.5,0.2,,0.5310024726806806,10.0,k2,0.8407351561880796
,,rational,0.15000000000000002,True,0.5,0.3,,0.615340606862758,6.666666666666666,k2,0.8482392797985367
,,rational,0.2,True,0.5,0.4,,0.876793061918701,5.0,k2,0.8593055402281073
,,rational,0.2,True,0.5,0.5,,0.5555769359838397,5.0,k2,0.8472595585875895
,,rational,0.25,True,0.5,0.6,,0.8966140056193362,4.0,k2,0.909414744520493
,,rational,0.25,True,0.5,0.7,,0.8249155863956693,4.0,k2,0.8625671919706326
,,rational,0.30000000000000004,True,0.5,0.8,,0.4793713777618627,3.333333333333333,k2,0.9062424770668684
,,rational,0.2,True,0.1,0.5,,0.45819623809077575,5.0,k1,0.5950052895457982
,,rational,0.2,True,0.2,0.5,,0.5439256289798311,5.0,k1,0.5325981290475535
,,rational,0.2,True,0.3,0.5,,0.5900256936879674,5.0,k1,0.550731493045592
,,rational,0.2,True,0.4,0.5,,0.5185538890820979,5.0,k1,0.8496641884106819
,,rational,0.2,True,0.5,0.5,,0.5555769359838397,5.0,k1,0.8472595585875895
,,rational,0.2,True,0.6,0.5,,0.602715073399111,5.0,k1,0.9191930432347047
,,rational,0.2,True,0.7,0.5,,0.6651979159222012,5.0,k1,0.8314321319621825
,,rational,0.2,True,0.8,0.5,,0.7099403090315134,5.0,k1,0.9238711814361857
,4.0,rational,0.2,True,0.5,0.5,9.0,0.48161244199104214,5.0,d,0.8638067891539752
,5.0,rational,0.2,True,0.5,0.5,9.0,0.5555769359838397,5.0,d,0.8472595585875895
,6.0,rational,0.15000000000000002,True,0.5,0.5,9.0,0.5503345832345474,6.666666666666666,d,0.6746998928698161
,7.0,rational,0.15000000000000002,True,0.5,0.5,9.0,0.47404768820076504,6.666666666666666,d,0.5646313394039849
,5.0,rational,0.2,True,0.5,0.5,7.0,0.7128464737133419,5.0,mu,0.804241811982724
,5.0,rational,0.2,True,0.5,0.5,9.0,0.5555769359838397,5.0,mu,0.8472595585875895
,5.0,rational,0.2,True,0.5,0.5,11.0,0.4824827157589327,5.0,mu,0.8924898112361254
,5.0,rational,0.2,True,0.5,0.5,13.0,0.45647136097980345,5.0,mu,0.8761763306071279
4,5.0,rational,0.2,True,0.5,0.5,9.0,0.4343889784636475,5.0,N,0.8153997992023031
5,5.0,rational,0.2,True,0.5,0.5,9.0,0.538585620183652,5.0,N,0.7744405560044592
6,5.0,rational,0.2,True,0.5,0.5,9.0,0.5555769359838397,5.0,N,0.8472595585875895
7,5.0,rational,0.2,True,0.5,0.5,9.0,0.6554949086755821,5.0,N,0.8508946562805116
8,5.0,rational,0.2,True,0.5,0.5,9.0,0.6326412906698505,5.0,N,0.7517607176499981
,,rational,0.15000000000000002,True,0.2,0.2,,0.6607285268389361,6.666666666666666,grid,0.7759079222927782
,,rational,0.2,True,0.2,0.4,,0.9319983094444799,5.0,grid,0.5590465965093429
,,rational,0.25,True,0.2,0.6,,0.8906421494004871,4.0,grid,0.5638653769802083
,,rational,0.1,True,0.4,0.2,,0.37132849409041985,10.0,grid,0.8886613091294736
,,rational,0.2,True,0.4,0.4,,0.9348428299815311,5.0,grid,0.8713964551900866
,,rational,0.25,True,0.4,0.6,,0.6979733718461409,4.0,grid,0.8336416400328567
,,rational,0.1,True,0.6,0.2,,0.5801377393078021,10.0,grid,0.7400439599602107
,,rational,0.2,True,0.6,0.4,,0.7480260814044225,5.0,grid,0.8452286650855617
,,rational,0.25,True,0.6,0.6,,0.8626370234225745,4.0,grid,0.8646738008072644
