N,d_col,form,freq,is_breathing,k1,k2,mu,peak_ratio,period,scan,sigma_ratio
,,stiff,0.05,True,0.5,0.1,,0.5996281582297879,20.0,k2,0.9401409375063032
,,stiff,0.1,True,0.5,0.2,,0.50267509795243,10.0,k2,0.6731884155562782
,,stiff,0.15000000000000002,True,0.5,0.3,,0.6451498840101619,6.666666666666666,k2,0.7932631090742072
,,stiff,0.2,True,0.5,0.4,,0.6373930407898454,5.0,k2,0.8371433621334382
,,stiff,0.2,True,0.5,0.5,,0.686122102812614,5.0,k2,0.9036799324586744
,,stiff,0.25,True,0.5,0.6,,0.5121145071824866,4.0,k2,0.8230142020869893
,,stiff,0.25,True,0.5,0.7,,0.8251202853088495,4.0,k2,0.8713045910618032
,,stiff,0.25,True,0.5,0.8,,0.45577331831339607,4.0,k2,0.6968634524255092
,,stiff,0.2,True,0.1,0.5,,0.42104319563873777,5.0,k1,0.5884041325578263
,,stiff,0.2,True,0.2,0.5,,0.49252472312384254,5.0,k1,0.82304952251425
,,stiff,0.2,True,0.3,0.5,,0.5119234661222792,5.0,k1,0.8102572947647252
,,stiff,0.2,True,0.4,0.5,,0.5793921133999205,5.0,k1,0.7658523545261102
,,stiff,0.2,True,0.5,0.5,,0.686122102812614,5.0,k1,0.9036799324586744
,,stiff,0.2,True,0.6,0.5,,0.7494059576633689,5.0,k1,0.8703888478843889
,,stiff,0.2,True,0.7,0.5,,0.475481473977256,5.0,k1,0.8442194475287075
,,stiff,0.1,True,0.8,0.5,,0.4561982118812664,10.0,k1,0.5418381229081143
,4.0,stiff,0.15000000000000002,True,0.5,0.5,9.0,0.4203574825543139,6.666666666666666,d,0.7214368197111151
,5.0,stiff,0.2,True,0.5,0.5,9.0,0.686122102812614,5.0,d,0.9036799324586744
,6.0,stiff,0.1,True,0.5,0.5,9.0,0.27255745837578166,10.0,d,0.4131554220728829
,7.0,stiff,0.15000000000000002,True,0.5,0.5,9.0,0.47906092541729184,6.666666666666666,d,0.7143629830260578
,5.0,stiff,0.2,True,0.5,0.5,7.0,0.630297164527989,5.0,mu,0.865209717567818
,5.0,stiff,0.2,True,0.5,0.5,9.0,0.686122102812614,5.0,mu,0.9036799324586744
,5.0,stiff,0.2,True,0.5,0.5,11.0,0.7502805435431654,5.0,mu,0.7530137639510863
,5.0,stiff,0.2,True,0.5,0.5,13.0,0.5459260908435469,5.0,mu,0.784283596046996
4,5.0,stiff,0.15000000000000002,True,0.5,0.5,9.0,0.38824476618717857,6.666666666666666,N,0.8406325003577046
5,5.0,stiff,0.15000000000000002,True,0.5,0.5,9.0,0.38455126049092975,6.666666666666666,N,0.5008257271545846
6,5.0,stiff,0.2,True,0.5,0.5,9.0,0.686122102812614,5.0,N,0.9036799324586744
7,5.0,stiff,0.2,True,0.5,0.5,9.0,0.4231538990234466,5.0,N,0.6724253589011635
8,5.0,stiff,0.2,True,0.5,0.5,9.0,0.7795693013159526,5.0,N,0.7945747163043904
,,stiff,0.15000000000000002,True,0.2,0.2,,0.5932336115355569,6.666666666666666,grid,0.6095505839275251
,,stiff,0.2,True,0.2,0.4,,0.9044921654000941,5.0,grid,0.8418056169380571
,,stiff,0.25,True,0.2,0.6,,0.8499296845065551,4.0,grid,0.8080538690639718
,,stiff,0.1,True,0.4,0.2,,0.5163203396177157,10.0,grid,0.8446364272250068
,,stiff,0.2,True,0.4,0.4,,0.5053893658281082,5.0,grid,0.7350948341530823
,,stiff,0.2,True,0.4,0.6,,0.5272120851356762,5.0,grid,0.7278610079895345
,,stiff,0.15000000000000002,True,0.6,0.2,,0.32246220550325044,6.666666666666666,grid,0.7060164893900279
,,stiff,0.2,True,0.6,0.4,,0.3147404589013606,5.0,grid,0.8979355434639505
,,stiff,0.25,True,0.6,0.6,,0.5476310395128917,4.0,grid,0.8770721256466938
